title,price_gbp,rating,availability,in_stock,category
"In a Dark, Dark Wood",19.63,1,In stock,True,Mystery
Behind Closed Doors,52.22,4,In stock,True,Thriller
You can't bury them all: Poems,33.63,2,In stock,True,Poetry
Slow States of Collapse: Poems,57.31,3,In stock,True,Poetry
Reasons to Stay Alive,26.41,2,In stock,True,Nonfiction
Private Paris (Private #10),47.61,5,In stock,True,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,True,Nonfiction
Without Borders (Wanderlove #1),45.07,2,In stock,True,New Adult
When We Collided,31.77,1,In stock,True,Contemporary
"We Love You, Charlie Freeman",50.27,5,In stock,True,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,True,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,True,Nonfiction
Unicorn Tracks,18.78,3,In stock,True,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,True,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,True,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,True,Nonfiction
This One Summer,19.49,4,In stock,True,Sequential Art
Thirst,17.27,5,In stock,True,Fiction
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,True,Add a comment
The Secret of Dreadwillow Carse,56.13,1,In stock,True,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,True,Food and Drink
The Past Never Ends,56.5,4,In stock,True,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,True,Young Adult
The Nameless City (The Nameless City #1),38.16,4,In stock,True,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,True,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,True,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,True,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,True,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,True,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,True,Nonfiction
The Death of Humanity: and the Case for Life,58.11,4,In stock,True,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,True,Health
The Art Forger,40.76,3,In stock,True,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,True,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,True,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,True,Nonfiction
Soul Reader,39.58,2,In stock,True,Default
Security,39.25,2,In stock,True,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,True,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,True,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,True,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,True,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,True,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,True,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,True,History
Patience,10.16,3,In stock,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,True,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,True,Self Help
On a Midnight Clear,14.07,3,In stock,True,Add a comment
Obsidian (Lux #1),14.86,2,In stock,True,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,True,Food and Drink
Masks and Shadows,56.4,2,In stock,True,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,True,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,True,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,True,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,True,Add a comment
Join,35.67,5,In stock,True,Science Fiction
In the Country We Love: My Family Divided,22.0,4,In stock,True,Nonfiction
